"filename", "language", "JSON", "JSON with Comments", "JavaScript", "Markdown", "Handlebars", "SQL", "CSS", "Ignore", "comment", "blank", "total"
"c:\Users\micha\Desktop\Bootcamp\PROJECTS\Donomon-Choice-RPG\.eslintrc.json", "JSON with Comments", 0, 38, 0, 0, 0, 0, 0, 0, 0, 1, 39
"c:\Users\micha\Desktop\Bootcamp\PROJECTS\Donomon-Choice-RPG\.prettierignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"c:\Users\micha\Desktop\Bootcamp\PROJECTS\Donomon-Choice-RPG\.prettierrc.json", "JSON", 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\micha\Desktop\Bootcamp\PROJECTS\Donomon-Choice-RPG\README.md", "Markdown", 0, 0, 0, 80, 0, 0, 0, 0, 0, 23, 103
"c:\Users\micha\Desktop\Bootcamp\PROJECTS\Donomon-Choice-RPG\config\connection.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\micha\Desktop\Bootcamp\PROJECTS\Donomon-Choice-RPG\controllers\api\donomon-routes.js", "JavaScript", 0, 0, 50, 0, 0, 0, 0, 0, 3, 12, 65
"c:\Users\micha\Desktop\Bootcamp\PROJECTS\Donomon-Choice-RPG\controllers\api\index.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\micha\Desktop\Bootcamp\PROJECTS\Donomon-Choice-RPG\controllers\api\question-routes.js", "JavaScript", 0, 0, 56, 0, 0, 0, 0, 0, 2, 5, 63
"c:\Users\micha\Desktop\Bootcamp\PROJECTS\Donomon-Choice-RPG\controllers\api\user-routes.js", "JavaScript", 0, 0, 102, 0, 0, 0, 0, 0, 8, 12, 122
"c:\Users\micha\Desktop\Bootcamp\PROJECTS\Donomon-Choice-RPG\controllers\home-routes.js", "JavaScript", 0, 0, 56, 0, 0, 0, 0, 0, 1, 8, 65
"c:\Users\micha\Desktop\Bootcamp\PROJECTS\Donomon-Choice-RPG\controllers\index.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 4, 10
"c:\Users\micha\Desktop\Bootcamp\PROJECTS\Donomon-Choice-RPG\db\schema.sql", "SQL", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
"c:\Users\micha\Desktop\Bootcamp\PROJECTS\Donomon-Choice-RPG\models\Answer.js", "JavaScript", 0, 0, 25, 0, 0, 0, 0, 0, 1, 4, 30
"c:\Users\micha\Desktop\Bootcamp\PROJECTS\Donomon-Choice-RPG\models\DonomonType.js", "JavaScript", 0, 0, 33, 0, 0, 0, 0, 0, 2, 5, 40
"c:\Users\micha\Desktop\Bootcamp\PROJECTS\Donomon-Choice-RPG\models\Donomons.js", "JavaScript", 0, 0, 54, 0, 0, 0, 0, 0, 1, 5, 60
